species,param,truth,median,q025,q975
Humpback whale,sigma (km),2.5,2.559594212038406,2.3147886654219922,2.8733579138279075
Humpback whale,beta_size,NA,7.97971645e-4,-0.0994889631,0.09915365240000003
Humpback whale,E[s|s>0] (observed-cond. mean),1.724743777452416,1.6885061822638576,1.6012585433737887,1.7841354887948946
Humpback whale,lambda_s (groups/km^2),0.006824486822484612,0.0063057367,0.0055649378425,0.007109351505
Humpback whale,D (animals/km^2),0.011770491181386343,0.010658835983973703,0.00928061199165671,0.012140962248474588
Pacific white-sided dolphin,sigma (km),1.5,1.5828218498674733,1.3570450855079055,1.898656400320012
Pacific white-sided dolphin,beta_size,0.01,0.00645899785,0.0039526654025,0.010529006025
Pacific white-sided dolphin,E[s|s>0] (observed-cond. mean),42.74545454545454,56.88236768711287,46.870076968497024,69.74643403100166
Pacific white-sided dolphin,lambda_s (groups/km^2),0.0019550025035980916,0.0019153496,0.0014982562125000001,0.0024366680675
Pacific white-sided dolphin,D (animals/km^2),0.08356747065380206,0.10943719268023448,0.08300819330653866,0.14168395623307678
